时间,标题,简讯,date
2023-11-30 09:35:31,港交所：提议证券市场及衍生产品市场在恶劣天气下可继续提供交易、结算及交收服务,【港交所：提议证券市场及衍生产品市场在恶劣天气下可继续提供交易、结算及交收服务】财联社11月30日电，港交所发布有关香港证券及衍生产品市场于恶劣天气下维持交易建议的咨询文件，提议取消现行的恶劣天气安排，证券市场及衍生产品市场在恶劣天气下可继续提供交易、结算及交收服务。咨询期为期八周，于2024年1月26日结束。,2023-11-30
2023-11-30 09:30:37,北向资金今日大幅净买入85.16亿元 长江电力获净买入4.98亿元,北向资金今日大幅净买入85.16亿元。长江电力、联影医疗、贵州茅台分别获净买入4.98亿元、4.76亿元、4.52亿元。五粮液净卖出额居首，金额为2.9亿元。,2023-11-30
2023-11-30 09:13:59,浙江证监局对思美传媒、董秘李子木采取出具警示函措施,浙江证监局对思美传媒股份有限公司、董秘李子木采取出具警示函措施。,2023-11-30
2023-11-30 09:00:01,独家|格力电器渠道改革新进展：推行“云签网批”,"【独家 | 格力电器渠道改革新进展：推行“云签网批”】财联社记者从多位经销商处获悉，格力渠道改革负责人王自如近日开会传达渠道改革最新政策，要求经销商线上“云签网批”，也就是增设线上进货渠道。经销商表示：“就是董明珠店给线下专卖店开通一个账号，可以通过这个账号从京东、董店、天猫下单。总部会结算营业额。”
据介绍，线下进货渠道与线上“云签网批”同时存在。不过线上也是有任务的，完不成的话“奖励就没有了，返利款的结算比例也会相应降低。”（财联社记者 任超宇）
",2023-11-30
2023-11-30 08:59:37,接近腾讯人士：魔方是腾讯旗下自研工作室 不会代理外部产品,【接近腾讯人士：魔方是腾讯旗下自研工作室 不会代理外部产品 传言不准确】财联社11月30日电，记者获悉，腾讯旗下“魔方工作室”疑似在B站进行魔兽世界相关直播，此后该直播突然中止，但仍然能看到“魔兽世界”相关logo。 截至发稿，该直播页面显示“当前直播已结束”。公开资料显示，魔方工作室为腾讯互动娱乐事业群四大工作室群之一。记者从知情人士处独家获悉，暴雪已在和包括网易、腾讯在内的多家游戏厂商谈判国服回归事宜，但目前尚未有确定的合作方和具体回归时间。30日晚些时候，腾讯游戏方面回应记者称，此事仅为直播测试，已经结束。另外有接近腾讯的人士告诉记者，魔方是腾讯旗下自研工作室，不会代理外部产品，传言不准,2023-11-30
2023-11-30 08:48:06,良品铺子将实施17年来最大规模降价 最高降幅45%,【良品铺子将实施17年来最大规模降价 最高降幅45%】财联社11月30日电，良品铺子表示，业务端将实施17年来最大规模降价，300款产品平均降价22%，最高降幅45%，主要集中在成本优化但不影响品质以及复购率高的零食上。,2023-11-30
2023-11-30 08:26:56,知情人士：暴雪已和网易、腾讯等谈判国服回归 时间仍未落定,【知情人士：暴雪已和网易、腾讯等谈判国服回归 时间仍未落定】财联社11月30日电，腾讯旗下“魔方工作室”疑似在B站进行魔兽世界相关直播，截至发稿，该直播已经中止，但仍然能看到“魔兽世界”相关logo。近日，记者从知情人士处独家获悉，暴雪已在和包括网易、腾讯在内的多家游戏厂商谈判国服回归事宜，但目前尚未有确定的合作方和具体回归时间，腾讯对此事尚未回应。公开资料显示，魔方工作室为腾讯互动娱乐事业群四大工作室群之一。,2023-11-30
2023-11-30 08:09:21,香港恒生指数收涨0.29% 恒生科技指数跌0.27%,香港恒生指数收涨0.29%，恒生科技指数跌0.27%。恒大物业涨超17%，中国恒大涨超11%，融创中国涨超5%，腾讯控股涨超3%；知乎跌超11%，哔哩哔哩跌近11%，理想汽车跌超4%。,2023-11-30
2023-11-30 08:06:28,商务部回应石墨出口管制生效是否会影响全球电池供应链,【商务部回应石墨出口管制生效是否会影响全球电池供应链】财联社11月30日电，有媒体提问，12月1日，中国将对石墨实施出口管制，石墨是新能源电池的重要原材料，出口管制会不会对全球的电池供应链产生影响？束珏婷表示，根据履行防扩散国际义务以及维护国家安全和利益的需要，自2006年开始，中国对石墨类相关制品实施临时出口管制，其中就包括作为电池负极材料的相关石墨制品。为更好统筹发展和安全，近期中国政府依法对该临时出口管制措施进行优化调整，有进有出，其中取消了部分低敏感石墨物项的临时管制。束珏婷强调，“在政策制定过程中，我们广泛听取了相关企业和产业的意见，中方将始终致力于维护全球产业链、供应链的安全稳定。,2023-11-30
2023-11-30 07:44:07,国防部：福建舰正按计划开展系泊试验,【中国第三艘航母福建舰是否有好消息宣布？国防部回应】财联社11月30日电，国防部举行例行记者会，在回答《环球时报》记者“中国第三艘航母福建舰是否有好消息宣布”的提问时，国防部新闻发言人吴谦表示，我国第三艘航母福建舰目前正在开展系泊试验，后续将按计划稳步推进建设项目。据外媒此前报道，中国第三艘航母福建舰已开始对其电磁弹射系统进行“静载”发射测试，为“近期将要进行的海试”做准备。,2023-11-30
2023-11-30 07:38:19,投资日历：12月资本市场大事提醒,【投资日历：12月资本市场大事提醒】,2023-11-30
