时间,标题,简讯,date
2023-12-14 09:45:37,高盛2024年中国股市展望：维持高配A股市场 预计两板块盈利增长预期向好,【高盛2024年中国股市展望：维持高配A股市场 预计两板块盈利增长预期向好】高盛研究部的首席中国股票策略师刘劲津 (Kinger Lau)及团队对中国股市保持谨慎乐观，认为经济情势改善有望推动企业盈利回升，且因A股估值处于历史低位，维持对A股的“高配”立场。高盛研究部预计2024年MSCI中国指数和沪深300指数成分股将分别实现10%和11%的盈利增长，与今年表现接近（市场预测增速分别为8%和10%）。由于中国A股市场对于地缘政治和流动性因素的敏感性较低，股票风险溢价较高，而且与国内政策利好及国家增长目标的匹配度更佳，高盛团队认为中国A股市场的策略投资理由十分充分。团队亦认为大众市场消费股、部,2023-12-14
2023-12-14 09:31:04,北向资金今日净买入34.63亿元 万华化学获净买入4.8亿元,北向资金今日净买入34.63亿元。万华化学、欧菲光、长安汽车分别获净买入4.8亿元、4.72亿元、4.44亿元。贵州茅台净卖出额居首，金额为2.2亿元。,2023-12-14
2023-12-14 09:29:34,央行北京市分行：最长贷款期限延后百万贷款每月可少还499元,【央行北京市分行：最长贷款期限延后百万贷款每月可少还499元】财联社12月14日电，北京此前发布了《关于调整优化本市普通住房标准和个人住房贷款政策的通知》规定，延长最长贷款期限至30年。取消房价过快上行阶段北京市对房贷年限的从严管控，由目前最长25年恢复至30年。人民银行北京市分行表示，以贷款金额100万元、利率4.2%（当前最新一期五年期以上LPR）为例，期限从25年延长至30年，按照等额本息还款法，每月可以少还499元，减轻每月还款压力，释放消费潜力。,2023-12-14
2023-12-14 08:48:37,北京：降低商业银行新发放房贷利率政策下限 首套房贷利率最低为4.2%,北京市发布进一步优化调整房地产政策：降低商业银行新发放房贷利率政策下限。此次调整的是新发放的商业性个人住房贷款利率政策下限，即12月15日起新发放的商业性个人住房贷款将执行新的利率政策下限。调整后：城六区首套、二套利率政策下限分别为不低于相应期限贷款市场报价利率加10个基点、不低于相应期限贷款市场报价利率加60个基点；非城六区首套、二套利率政策下限分别为不低于相应期限贷款市场报价利率、不低于相应期限贷款市场报价利率加55个基点。各银行应根据北京地区市场利率定价自律机制确定的政策下限，结合本机构经营情况、客户风险状况等因素，按照市场化、法治化原则，合理确定每笔新发放房贷利率水平。,2023-12-14
2023-12-14 08:47:40,北京：首套房首付比例降至三成、二套房四成 同时延长贷款期限,北京市发布进一步优化调整房地产政策：下调新发放房贷最低首付款比例，同时延长贷款期限。在全国统一政策的基础上，将北京地区首套住房个人住房贷款（含商业性个人住房贷款、住房公积金个人住房贷款，下同）最低首付款比例统一下调为30%；二套住房个人住房贷款最低首付款比例下调为城六区50%、非城六区40%。下调最低首付款比例降低了居民购买住房的资金门槛，有利于更好满足刚性和改善性住房需求。同时，此次调整取消了房价过快上行阶段本市对房贷年限的从严管控，由目前最长25年恢复至30年。,2023-12-14
2023-12-14 08:46:41,北京对普宅的建筑面积、价格标准进行适当上调,北京市发布进一步优化调整房地产政策，更好支持刚性和改善性住房需求的通知。小区建筑容积率在1.0（含）以上，单套建筑面积在144平方米（含）以下，5环内成交价格在85000元/平方米（含）以下、5-6环成交价格在65000元/平方米（含）以下、6环外成交价格在45000元/平方米（含）以下的住房视为普宅。,2023-12-14
2023-12-14 08:36:32,商务部：已批准符合石墨物项临时出口管制措施的若干申请,【商务部：已批准符合石墨物项临时出口管制措施的若干申请】财联社12月14日电，商务部新闻发言人束珏婷表示，自12月1日优化调整石墨物项临时出口管制措施正式实施以来，商务部陆续收到了相关企业的出口申请，经依法依规审核，已批准了若干符合规定的申请，商务部将继续依法依规对企业的许可申请进行审核，并作出决定。,2023-12-14
2023-12-14 08:09:50,,香港恒生指数收涨1.07%，恒生科技指数涨0.34%。华虹半导体涨超5%，融创中国、联想集团、恒大汽车均涨超3%；哔哩哔哩跌超4%，网易跌超3%。,2023-12-14
2023-12-14 08:00:50,欧洲主要股指全线高开,欧股全线高开，德国DAX指数涨1.07%，法国CAC指数涨0.34%，英国富时指数涨1.29%。,2023-12-14
2023-12-14 07:53:04,,财联社12月14日电，交易员首次预测2024年美联储将降息150个基点。,2023-12-14
