时间,标题,简讯,date
2023-08-21 09:38:34,通威股份：上半年净利同比增长8.56% 200亿元投建16GW电池片等项目,【通威股份：上半年净利同比增长8.56% 200亿元投建16GW电池片等项目】财联社8月21日电，通威股份发布半年报，上半年营业收入740.68亿元，同比增长22.75%，净利润132.7亿元，同比增长8.56%。公司同日公告，拟在乐山市峨眉山市投资建设16GW拉棒、切片、电池片项目，项目预计投资金额约100亿元；拟在乐山市五通桥区投资建设16GW拉棒、切片、电池片项目，项目预计投资金额约100亿元。,2023-08-21
2023-08-21 09:30:54,北向资金今日大幅净卖出64.12亿元 贵州茅台遭净卖出9.94亿元,北向资金今日大幅净卖出64.12亿元。贵州茅台、隆基绿能、招商银行分别获净卖出9.94亿元、7.34亿元、6.99亿元。华泰证券净买入额居首，金额为5.34亿元。,2023-08-21
2023-08-21 09:12:50,众泰汽车：上半年净亏损2.84亿元,【众泰汽车：上半年净亏损2.84亿元】财联社8月21日电，众泰汽车发布半年报，上半年营业收入3.71亿元，同比增长24.55%，净亏损2.84亿元，上年同期净亏损2.77亿元。小财注：Q1亏损1.88亿元，据此计算，Q2亏损0.96亿元。,2023-08-21
2023-08-21 09:09:56,微光股份：购买的5000万元中融信托产品逾期兑付,【微光股份：购买的5000万元中融信托产品逾期兑付】财联社8月21日电，微光股份公告，2023年5月22日，公司购买了中融信托发行的信托产品中融-汇聚金1号，金额为5000万元，到期日为2023年8月21日。截至本公告披露日，公司尚未收到该信托产品本金及投资收益。,2023-08-21
2023-08-21 08:43:05,,财联社8月21日电，据港交所文件显示，顺丰控股股份有限公司向港交所提交上市申请书。,2023-08-21
2023-08-21 08:37:44,海南机场：上半年净利润同比增长808%,【海南机场：上半年净利润同比增长808%】财联社8月21日电，海南机场披露半年报，上半年公司实现营业收入33.7亿元，同比增长48.81%；净利润5.83亿元，同比增长807.55%；基本每股收益0.05元。小财注：Q1净利润2.33亿元，据此计算，Q2净利润3.5亿元，环比增长50.21%。,2023-08-21
2023-08-21 08:19:26,独家|恒大汽车中东战投首笔过渡资金今日已到账,【独家｜恒大汽车中东战投首笔过渡资金今日已到账】8月21日，记者从恒大汽车方面独家获悉，其最新引入的战投方首笔过渡资金，今日已按期到账。小财注：恒大汽车8月14日发布公告，获得由阿联酋国家主权基金持股的上市公司NWTN集团首笔5亿美元战略投资，另有6亿元人民币过渡资金将自公告后5个工作日开始陆续到账，所有资金全部用于天津工厂，确保恒驰5的正常生产和恒驰6、7的陆续量产。（财联社记者 陈业）,2023-08-21
2023-08-21 08:09:14,香港恒生指数收跌1.82% 恒生科技指数跌2.1%,香港恒生指数收跌1.82%，恒生科技指数跌2.1%。融创中国跌超12%，中信证券跌超6%，零跑汽车跌超5%，中国平安、小米集团、蔚来跌超3%；东方甄选涨超4%，恒大汽车涨超3%。,2023-08-21
2023-08-21 08:03:11,财政部：1-7月证券交易印花税1280亿元 同比下降30.7%,财政部：1-7月印花税2679亿元，同比下降8.3%。其中，证券交易印花税1280亿元，同比下降30.7%。,2023-08-21
2023-08-21 08:02:14,财政部：1-7月全国一般公共预算收入13.9万亿元 同比增长11.5%,财政部：1-7月累计，全国一般公共预算收入139334亿元，同比增长11.5%。其中，税收收入117531亿元，同比增长14.5%；非税收入21803亿元，同比下降2.3%。,2023-08-21
2023-08-21 07:36:39,南向资金净流入超100亿港元,【南向资金净流入超100亿港元】财联社8月21日电，截至发稿，南向资金净流入超100亿港元，其中，港股通（沪）净流入超49亿港元，港股通（深）净流入超50亿港元。,2023-08-21
